iter	Passed	Remaining
0	0	176
1	0	237
2	0	213
3	0	203
4	0	193
5	1	197
6	1	195
7	1	199
8	1	196
9	2	204
10	2	200
11	2	196
12	2	195
13	2	193
14	3	198
15	3	203
16	3	201
17	3	200
18	3	200
19	4	201
20	4	199
21	4	200
22	4	199
23	4	202
24	5	205
25	5	204
26	5	206
27	5	205
28	6	206
29	6	205
30	6	203
31	6	203
32	6	202
33	7	202
34	7	204
35	7	202
36	7	201
37	7	200
38	8	200
39	8	199
40	8	198
41	8	200
42	8	199
43	9	198
44	9	196
45	9	196
46	9	194
47	9	195
48	9	194
49	10	192
50	10	193
51	10	192
52	10	194
53	11	194
54	11	194
55	11	193
56	11	194
57	11	193
58	12	192
59	12	192
60	12	191
61	12	191
62	12	192
63	13	193
64	13	193
65	13	192
66	13	193
67	14	193
68	14	192
69	14	192
70	14	191
71	14	191
72	15	191
73	15	191
74	15	190
75	15	189
76	15	190
77	16	190
78	16	191
79	16	191
80	16	192
81	17	192
82	17	192
83	17	192
84	17	192
85	18	192
86	18	192
87	18	191
88	18	192
89	19	192
90	19	192
91	19	191
92	19	191
93	19	191
94	20	190
95	20	190
96	20	189
97	20	189
98	20	188
99	20	188
100	21	187
101	21	187
102	21	188
103	21	188
104	22	188
105	22	189
106	22	188
107	22	188
108	22	187
109	23	188
110	23	187
111	23	188
112	24	188
113	24	188
114	24	188
115	24	188
116	24	187
117	25	187
118	25	187
119	25	187
120	25	187
121	26	187
122	26	186
123	26	186
124	26	186
125	26	185
126	26	185
127	27	185
128	27	185
129	27	184
130	27	184
131	27	183
132	28	183
133	28	183
134	28	183
135	28	182
136	29	182
137	29	182
138	29	182
139	29	181
140	29	181
141	29	180
142	30	180
143	30	180
144	30	180
145	30	179
146	30	179
147	31	179
148	31	178
149	31	178
150	31	177
151	31	177
152	32	177
153	32	177
154	32	177
155	32	177
156	32	177
157	33	176
158	33	176
159	33	175
160	33	176
161	34	176
162	34	176
163	34	175
164	34	175
165	35	175
166	35	176
167	35	175
168	35	175
169	35	175
170	36	175
171	36	174
172	36	174
173	36	174
174	36	174
175	37	174
176	37	173
177	37	173
178	37	173
179	38	173
180	38	173
181	38	173
182	38	172
183	38	172
184	39	172
185	39	172
186	39	171
187	39	171
188	39	171
189	40	171
190	40	170
191	40	170
192	40	170
193	40	169
194	41	169
195	41	169
196	41	169
197	41	168
198	41	168
199	42	168
200	42	168
201	42	168
202	42	167
203	42	167
204	43	167
205	43	167
206	43	166
207	43	166
208	44	166
209	44	166
210	44	166
211	44	166
212	45	166
213	45	166
214	45	166
215	45	166
