iter	RMSE
0	3.899526779
1	3.851769056
2	3.812595553
3	3.781953532
4	3.756311889
5	3.735232558
6	3.718112645
7	3.70156584
8	3.689462603
9	3.678745098
10	3.667945905
11	3.658992514
12	3.652136566
13	3.644154469
14	3.639104625
15	3.632368281
16	3.627853581
17	3.622389509
18	3.617717056
19	3.613265825
20	3.610362546
21	3.606255052
22	3.603996558
23	3.600470591
24	3.597985814
25	3.595419034
26	3.592176756
27	3.590276888
28	3.588776195
29	3.586492968
30	3.585248723
31	3.583087648
32	3.581526809
33	3.579690586
34	3.578849483
35	3.578124562
36	3.577192642
37	3.575597657
38	3.573971538
39	3.572527808
40	3.571578075
41	3.571075611
42	3.570122856
43	3.568881949
44	3.56846046
45	3.568089564
46	3.567170176
47	3.566907411
48	3.565985648
49	3.56534568
50	3.56488748
51	3.564194873
52	3.563835186
53	3.563456076
54	3.562981528
55	3.562455313
56	3.561913023
57	3.561708006
58	3.561198805
59	3.561031613
60	3.560709399
61	3.560336495
62	3.5600885
63	3.559713871
64	3.559493812
65	3.559228595
66	3.55904001
67	3.558802857
68	3.558467946
69	3.558248465
70	3.558039439
71	3.557788353
72	3.557645857
73	3.55755679
74	3.557481522
75	3.5573078
76	3.557157137
77	3.557013673
78	3.556826746
79	3.556684016
80	3.556570454
81	3.556454281
82	3.556299757
83	3.556246177
84	3.556130712
85	3.556010301
86	3.555927196
87	3.555853373
88	3.555832806
89	3.555786814
90	3.555713533
91	3.555674938
92	3.555615716
93	3.555482117
94	3.555435062
95	3.555340698
96	3.555263445
97	3.555168417
98	3.55511302
99	3.555020091
100	3.554985721
101	3.554916938
102	3.554863118
103	3.554816246
104	3.554746693
105	3.554682026
106	3.554640022
107	3.554593062
108	3.554534319
109	3.554496025
110	3.554458041
111	3.554415602
112	3.554356391
113	3.554312942
114	3.554257584
115	3.55421823
116	3.554172446
117	3.554132867
118	3.554091727
119	3.554038738
120	3.553997721
121	3.553951795
122	3.553929928
123	3.553888969
124	3.553852576
125	3.55381197
126	3.553777133
127	3.553744749
128	3.55370884
129	3.553671469
130	3.553639243
131	3.553612884
132	3.553590138
133	3.553563066
134	3.553538285
135	3.553519653
136	3.553481206
137	3.55345348
138	3.553426711
139	3.553393529
140	3.553357201
141	3.553322501
142	3.553298979
143	3.553270082
144	3.553240867
145	3.553220762
146	3.553187234
147	3.553160645
148	3.553129459
149	3.553108912
150	3.55308263
151	3.553057836
152	3.553025722
153	3.5530022
154	3.552979165
155	3.552957648
156	3.552937232
157	3.552912417
158	3.552889946
159	3.55286401
160	3.55283598
161	3.552814016
162	3.552794416
163	3.55277455
164	3.552752437
165	3.552734883
166	3.55271087
167	3.552694345
168	3.552674452
169	3.552658015
170	3.552634308
171	3.552618232
172	3.552601476
173	3.552576913
174	3.552547044
175	3.552524377
176	3.552511091
177	3.552477698
178	3.552456215
179	3.552436241
180	3.55242036
181	3.552400502
182	3.552377768
183	3.552356386
184	3.552335241
185	3.552313225
186	3.552299096
187	3.552280823
188	3.552259204
189	3.552241622
190	3.552218019
191	3.552192139
192	3.552171311
193	3.55214885
194	3.552125753
195	3.552108983
196	3.552094978
197	3.552069757
198	3.55205231
199	3.552034789
200	3.55201656
201	3.551997872
202	3.551978226
203	3.551954257
204	3.551937218
205	3.551910951
206	3.551890297
207	3.551870371
208	3.551851234
209	3.551835205
210	3.551815189
211	3.551796484
212	3.55177488
213	3.551761171
214	3.551742582
215	3.551723564
216	3.551707929
217	3.551688589
218	3.551668545
219	3.551651007
220	3.551632654
221	3.551609481
222	3.551596871
223	3.551574598
224	3.551560027
225	3.551540156
226	3.55152251
227	3.551501123
228	3.551486004
229	3.55146893
230	3.551452672
231	3.551435631
232	3.551413003
233	3.551398866
234	3.551374795
235	3.551353411
236	3.551337482
237	3.551319103
238	3.551299786
239	3.551280756
240	3.55126702
241	3.551249064
242	3.551234595
243	3.551215415
244	3.551191625
245	3.551172102
246	3.551160061
247	3.551146058
248	3.551129561
249	3.551116177
250	3.551095623
251	3.551076891
252	3.551065623
253	3.551046744
254	3.551026051
255	3.551002071
256	3.550978783
257	3.550957148
258	3.550943982
259	3.550930911
260	3.550916516
261	3.550900839
262	3.550885679
263	3.550867076
264	3.550851226
265	3.550831781
266	3.550814367
267	3.550799833
268	3.550780898
269	3.550763327
270	3.550742536
271	3.550726868
272	3.550709014
273	3.550693805
274	3.550679313
275	3.550660435
276	3.550642763
277	3.550622188
278	3.550604497
279	3.550582065
280	3.550561045
281	3.550543925
282	3.550525157
283	3.550509315
284	3.550490538
285	3.550477318
286	3.550464012
287	3.550451184
288	3.550438339
289	3.550421309
290	3.550401415
291	3.550386672
292	3.550367504
293	3.550347954
294	3.550331562
295	3.550318339
296	3.550305186
297	3.550290064
298	3.550272125
299	3.550255471
300	3.550235247
301	3.550214129
302	3.550193363
303	3.550178376
304	3.550162787
305	3.550145935
306	3.550123669
307	3.550105788
308	3.550091992
309	3.550076505
310	3.550059607
311	3.550042869
312	3.550027995
313	3.550012209
314	3.549995815
315	3.549981521
316	3.549967306
317	3.549946926
318	3.549929969
319	3.54991555
320	3.549896146
321	3.549884026
322	3.549868461
323	3.549853866
324	3.549837868
325	3.549820271
326	3.54980295
327	3.549779163
328	3.549766414
329	3.5497409
330	3.549722362
331	3.549699673
332	3.549684382
333	3.549667437
334	3.549652012
335	3.549635759
336	3.549623245
337	3.549604849
338	3.549589227
339	3.549569435
340	3.549550669
341	3.549530696
342	3.549511246
343	3.549492713
344	3.54947633
345	3.549458709
346	3.549444403
347	3.549428836
348	3.549409843
349	3.549394219
350	3.549378595
351	3.549364168
352	3.549350134
353	3.549336262
354	3.54931639
355	3.549303917
356	3.549289157
357	3.549274087
358	3.549261711
359	3.549248791
360	3.549232521
361	3.54921718
362	3.549199278
363	3.549184653
364	3.549171717
365	3.549155466
366	3.549141051
367	3.549130257
368	3.549119786
369	3.549104052
370	3.549087381
371	3.549060576
372	3.549044472
373	3.549034581
374	3.549020987
375	3.549004392
376	3.548987002
377	3.548976577
378	3.548958976
379	3.548941088
380	3.548923997
381	3.548908088
382	3.548891071
383	3.548871497
384	3.548860144
385	3.548846361
386	3.54883305
387	3.548817853
388	3.548802703
389	3.54879179
390	3.548773687
391	3.548760382
392	3.548740073
393	3.548721595
394	3.548708494
395	3.54869415
396	3.548679886
397	3.548663536
398	3.548645662
399	3.548628398
400	3.548611296
401	3.548590318
402	3.548575485
403	3.548561412
404	3.548545335
405	3.548529554
406	3.548514105
407	3.548497063
408	3.548486141
409	3.548473569
410	3.548453496
411	3.54843907
412	3.548424392
413	3.548406472
414	3.548383119
415	3.548367462
416	3.54835353
417	3.548338775
418	3.548320921
419	3.548307709
420	3.548289415
421	3.548278372
422	3.548264907
423	3.548250912
424	3.548233494
425	3.5482184
426	3.54820307
427	3.548191381
428	3.548173675
429	3.548159571
430	3.548136101
431	3.548124951
432	3.548108995
433	3.548094474
434	3.54807673
435	3.548063074
436	3.548050464
437	3.548036604
438	3.548021596
439	3.548006334
440	3.547991472
441	3.547973754
442	3.547957048
443	3.547944382
444	3.547928062
445	3.547906032
446	3.547891322
447	3.547876443
448	3.54786121
449	3.547846423
450	3.547835277
451	3.54782361
452	3.54780391
453	3.547789903
454	3.547769941
455	3.547759645
456	3.547740684
457	3.547724972
458	3.547712083
459	3.547698936
460	3.547680378
461	3.547662916
462	3.547644633
463	3.547632903
464	3.547616029
465	3.547597968
466	3.547581867
467	3.547565372
468	3.547550149
469	3.547536148
470	3.547523233
471	3.547508086
472	3.547496365
473	3.547479478
474	3.547465906
475	3.547450399
476	3.547433958
477	3.547418133
478	3.547400428
479	3.547386043
480	3.547370747
481	3.547359955
482	3.547348778
483	3.547336313
484	3.547319107
485	3.547307641
486	3.547293841
487	3.547282175
488	3.547267182
489	3.547249928
490	3.547235442
491	3.547218675
492	3.547206414
493	3.547190144
494	3.547177117
495	3.547159479
496	3.547150647
497	3.547137033
498	3.54712165
499	3.547110458
500	3.547093869
501	3.547082786
502	3.547067281
503	3.547046681
504	3.547028544
505	3.547018719
506	3.547004294
507	3.546989133
508	3.546978968
509	3.546965073
510	3.546951553
511	3.54693859
512	3.546926872
513	3.54691394
514	3.546897665
515	3.546887046
516	3.546873228
517	3.546853661
518	3.546838701
519	3.546827701
520	3.546813532
521	3.546799967
522	3.546784835
523	3.546775244
524	3.546760676
525	3.546742281
526	3.546728679
527	3.54671376
528	3.54669765
529	3.546686068
530	3.54667721
531	3.546661895
532	3.54664489
533	3.546632383
534	3.546614464
535	3.546602687
536	3.546591825
537	3.546576974
538	3.546566492
539	3.546555809
540	3.546544584
541	3.546531783
542	3.546519521
543	3.546509306
544	3.546495825
545	3.546480872
546	3.546463794
547	3.546449573
548	3.546432495
549	3.546423591
550	3.546409358
551	3.546395116
552	3.546384868
553	3.546371558
554	3.546355651
555	3.5463377
556	3.546322182
557	3.546304772
558	3.546288155
559	3.546279195
560	3.546265998
561	3.546250944
562	3.546241471
563	3.546229466
564	3.546211001
565	3.546198043
566	3.546183322
567	3.546168915
568	3.546157707
569	3.546140575
570	3.546129559
571	3.546118192
572	3.546102347
573	3.546083779
574	3.546074066
575	3.546058723
576	3.546042268
577	3.546030673
578	3.54601866
579	3.546002491
580	3.545986483
581	3.54597399
582	3.545958662
583	3.545947112
584	3.545927919
