iter	Passed	Remaining
0	0	824
1	1	765
2	2	749
3	2	724
4	3	710
5	4	701
6	4	705
7	5	699
8	6	692
9	6	686
10	7	686
11	8	683
12	8	681
13	9	681
14	10	681
15	11	677
16	11	662
17	12	663
18	12	663
19	13	661
20	14	660
21	14	659
22	15	658
23	16	658
24	16	657
25	17	657
26	18	655
27	18	654
28	19	653
29	20	653
30	20	652
31	21	650
32	22	649
33	22	648
34	23	649
35	24	648
36	24	647
37	25	646
38	26	646
39	26	646
40	27	645
41	28	644
42	28	643
43	29	642
44	30	642
45	30	641
46	31	641
47	32	639
48	32	639
49	33	638
50	34	637
51	34	636
52	35	635
53	36	634
54	36	633
55	37	633
56	38	632
57	38	631
58	39	630
59	40	629
60	40	628
61	41	628
62	42	627
63	42	626
64	43	625
65	44	624
66	44	623
67	45	622
68	46	621
69	46	620
70	47	620
71	48	619
72	48	618
73	49	617
74	50	616
75	50	615
76	51	614
77	52	614
78	52	613
79	53	612
80	53	611
81	54	610
82	55	610
83	55	609
84	56	609
85	57	608
86	57	608
87	58	607
88	59	606
89	59	606
90	60	605
91	61	604
92	61	604
93	62	603
94	63	602
95	63	602
96	64	601
97	65	599
98	65	599
99	66	598
100	67	598
101	67	597
102	68	596
103	69	595
104	69	595
105	70	594
106	71	594
107	71	593
108	72	593
109	73	593
110	74	593
111	74	591
112	75	591
113	75	590
114	76	589
115	77	589
116	77	588
117	78	588
118	79	587
119	80	586
120	80	586
121	81	585
122	82	584
123	82	584
124	83	583
125	84	583
126	84	583
127	85	584
128	86	583
129	87	583
130	87	582
131	88	582
132	89	581
133	89	581
134	90	580
135	91	580
136	91	579
137	92	578
138	93	577
139	93	577
140	94	576
141	95	576
142	96	575
143	96	574
144	97	573
145	98	573
146	98	572
147	99	572
148	100	571
149	100	570
150	101	569
151	102	569
152	102	569
153	103	568
154	104	567
155	104	567
156	105	567
157	106	566
158	106	565
159	107	565
160	108	564
161	108	563
162	109	562
163	110	562
164	111	561
165	111	561
166	112	560
167	112	559
168	113	558
169	114	558
170	114	557
171	115	557
172	116	556
173	117	556
174	117	555
175	118	554
176	119	554
177	119	553
178	120	552
179	121	552
180	121	551
181	122	550
182	123	550
183	123	549
184	124	548
185	125	548
186	125	547
187	126	546
188	127	545
189	127	545
190	128	544
191	129	543
192	129	543
193	130	542
194	131	541
195	131	541
196	132	540
197	133	539
198	133	539
199	134	538
200	135	537
201	135	537
202	136	536
203	137	535
204	138	535
205	138	534
206	139	533
207	140	533
208	140	532
209	141	531
210	142	531
211	142	530
