iter	RMSE
0	5.808798476
1	5.402982785
2	5.233534858
3	5.15679789
4	5.128472906
5	5.110691113
6	5.099753687
7	5.09429656
8	5.090729911
9	5.085132679
10	5.082649784
11	5.078608417
12	5.073921676
13	5.071663362
14	5.069336288
15	5.067338632
16	5.06646718
17	5.06533243
18	5.06505484
19	5.063845602
20	5.062709089
21	5.061839629
22	5.060625043
23	5.059522525
24	5.057860782
25	5.055447111
26	5.053419234
27	5.051897044
28	5.050281429
29	5.048745903
30	5.047222726
31	5.04470044
32	5.042404757
33	5.041095058
34	5.039743978
35	5.038754158
36	5.037170564
37	5.03589595
38	5.034580948
39	5.033852173
40	5.032432339
41	5.031449765
42	5.029507877
43	5.027746114
44	5.026305555
45	5.02442694
46	5.023205952
47	5.021893175
48	5.020805999
49	5.019333126
50	5.017639502
51	5.016252137
52	5.014903166
53	5.013586408
54	5.012677872
55	5.011252268
56	5.010346655
57	5.009082608
58	5.00808245
59	5.006966768
60	5.005299306
61	5.004266504
62	5.003281706
63	5.00213241
64	5.000994826
65	5.000321027
66	4.999407702
67	4.998307418
68	4.997525764
69	4.996048054
70	4.994757087
71	4.993886627
72	4.992640584
73	4.991436266
74	4.990628011
75	4.989351998
76	4.988360679
77	4.986461223
78	4.985160857
79	4.984122118
80	4.983474806
81	4.982054668
82	4.981662284
83	4.98031709
84	4.978989911
85	4.977973596
86	4.977077754
87	4.976313798
88	4.974721237
89	4.973579129
90	4.972257751
91	4.971296463
92	4.970439151
93	4.969397591
94	4.968371027
95	4.967668089
96	4.967001024
97	4.966282281
98	4.965316501
99	4.964241263
