iter	Passed	Remaining
0	1	117
1	2	106
2	3	102
3	4	101
4	5	98
5	6	96
6	7	94
7	8	93
8	9	91
9	10	90
10	11	89
11	12	88
12	13	87
13	14	86
14	15	85
15	16	84
16	17	83
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	64
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
